授業名,曜日,時間,時期,階数名,館,使用教室,class_num
生体組織学(b1),1,3,前期,1,12,124,16
情報システム総合演習(d1)(d2),1,4,前期,1,12,124,16
生体材料学(b1),2,2,前期,1,12,124,16
生命科学基礎実験Ⅰ(RB),2,3,前期,1,12,124,16
生命科学基礎実験Ⅰ(RB),2,4,前期,1,12,124,16
生化学(RB),3,2,前期,1,12,124,16
倫理学Ａ,4,2,前期,1,12,124,16
情報デザイン総合演習(d3),4,3,前期,2,12,124,16
情報デザイン総合演習(d4),4,3,前期,2,12,124,16
情報システム演習Ⅰ(d1),4,4,前期,3,12,124,16
情報システム演習Ⅰ(d2),4,4,前期,1,12,124,16
数理とデザイン(d1),5,2,前期,1,12,124,16
数理とデザイン(d3),5,2,前期,1,12,124,16
数理とデザイン(d4),5,2,前期,1,12,124,16
コンピュータプログラミングⅠ・同演習(RD),5,4,前期,1,12,124,16
コンピュータプログラミングⅠ・同演習(RD),5,5,前期,1,12,124,16
環境生物学(b2),2,2,前期,2,12,221,7
細胞生物学(b1),2,3,前期,2,12,221,7
コミュニケーション科学(RD),3,2,前期,2,12,221,7
教養ワークショップＡ,3,3,前期,2,12,221,7
アジア文化研究,3,4,前期,2,12,221,7
環境計測学(b2),4,2,前期,2,12,221,7
情報デザイン総合演習(d3),4,3,前期,2,12,221,7
情報デザイン総合演習(d4),4,3,前期,2,12,221,7
情報デザイン演習Ⅰ(d3),4,4,前期,2,12,221,7
情報デザイン演習Ⅰ(d4),4,4,前期,2,12,221,7
生命科学演習Ⅰ(RB),5,2,前期,2,12,221,7
生体高分子科学Ⅰ(RB),5,3,前期,2,12,221,7
コンピュータプログラミングⅠ・同演習(RD),5,4,前期,2,12,221,7
コンピュータプログラミングⅠ・同演習(RD),5,5,前期,2,12,221,7
生命科学概論(RB),1,2,前期,2,12,224,1
生命科学基礎実験Ⅰ(RB),2,3,前期,2,12,224,1
生命科学基礎実験Ⅰ(RB),2,4,前期,2,12,224,1
東京電機大学で学ぶ,3,4,前期,2,12,224,1
分子生命科学実験Ⅰ(b1),4,3,前期,2,12,224,1
分子生命科学実験Ⅰ(b1),4,4,前期,2,12,224,1
環境生命工学ゼミⅠ(b2),5,1,前期,3,12,224,1
ドイツ語入門Ⅰ,5,2,前期,2,12,224,1
初級ドイツ語Ⅰ,5,3,前期,2,12,224,1
生命科学概論(RB),1,2,前期,2,12,225,2
生命科学基礎実験Ⅰ(RB),2,3,前期,2,12,225,2
生命科学基礎実験Ⅰ(RB),2,4,前期,2,12,225,2
東京電機大学で学ぶ,3,4,前期,2,12,225,2
システム制御論,4,1,前期,2,12,225,2
環境生命工学実験Ⅰ(b2),4,3,前期,2,12,225,2
環境生命工学実験Ⅰ(b2),4,4,前期,2,12,225,2
介護福祉論,5,3,前期,2,12,225,2
介護福祉論,5,4,前期,2,12,225,2
電子工学ゼミⅠ,2,1,前期,2,12,226,3
生命科学基礎実験Ⅰ(RB),2,3,前期,2,12,226,3
生命科学基礎実験Ⅰ(RB),2,4,前期,2,12,226,3
東京電機大学で学ぶ,3,4,前期,2,12,226,3
環境生命工学実験Ⅰ(b2),4,3,前期,2,12,226,3
環境生命工学実験Ⅰ(b2),4,4,前期,2,12,226,3
電子工学ゼミⅠ,2,1,前期,2,12,227,4
生命科学基礎実験Ⅰ(RB),2,3,前期,2,12,227,4
生命科学基礎実験Ⅰ(RB),2,4,前期,2,12,227,4
東京電機大学で学ぶ,3,4,前期,2,12,227,4
環境生命工学実験Ⅰ(b2),4,3,前期,2,12,227,4
環境生命工学実験Ⅰ(b2),4,4,前期,2,12,227,4
電子工学ゼミⅠ,2,1,前期,2,12,228,5
情報理論,2,3,前期,2,12,228,5
東京電機大学で学ぶ,3,4,前期,2,12,228,5
環境生命工学実験Ⅰ(b2),4,3,前期,2,12,228,5
環境生命工学実験Ⅰ(b2),4,4,前期,2,12,228,5
生体システム科学,4,5,前期,2,12,228,5
生理化学,5,2,前期,2,12,228,5
コンピュータ基礎Ⅱ(RD),1,3,前期,2,12,229,6
マイクロバイオロジー工学特論,1,5,前期,2,12,229,6
電子工学ゼミⅠ,2,1,前期,2,12,229,6
東京電機大学で学ぶ,3,4,前期,2,12,229,6
理科教育法,5,2,前期,2,12,229,6
理科指導法,5,3,前期,2,12,229,6
微生物学(RB),1,1,前期,3,12,321,14
情報セキュリティ概論(d1)(d2),1,2,前期,3,12,321,14
生物学(RB),1,4,前期,3,12,321,14
知能情報デザイン概論(d3),1,5,前期,3,12,321,14
言語と表現(RD),2,2,前期,3,12,321,14
造形デザイン入門(RD),2,3,前期,3,12,321,14
造形デザイン入門(RD),2,4,前期,3,12,321,14
生命物理化学(RB),3,1,前期,3,12,321,14
食品化学(b2),3,2,前期,3,12,321,14
情報デザイン総合演習(d3),4,3,前期,2,12,321,14
情報デザイン総合演習(d4),4,3,前期,2,12,321,14
情報デザイン演習Ⅰ(d3),4,4,前期,3,12,321,14
情報デザイン演習Ⅰ(d4),4,4,前期,3,12,321,14
生命科学演習Ⅰ(RB),5,2,前期,3,12,321,14
生物統計学(RB),5,3,前期,3,12,321,14
コンピュータプログラミングⅠ・同演習(RD),5,4,前期,3,12,321,14
コンピュータプログラミングⅠ・同演習(RD),5,5,前期,3,12,321,14
情報と物質,2,2,前期,3,12,324,8
再生医工学,3,3,前期,3,12,324,8
再生医工学,3,4,前期,3,12,324,8
分子生命科学ゼミⅠ(b1),5,1,前期,3,12,324,8
生物情報科学Ⅱ(b1),5,4,前期,3,12,324,8
生体組織工学,1,5,前期,3,12,325,9
食品バイオ工学,5,4,前期,3,12,327,11
音楽とデザイン特論,4,5,前期,3,12,328,12
応用サイバースペース論,4,5,前期,3,12,329,13
プログラム言語論,5,2,前期,3,12,329,13
生理活性有機化合物論,5,3,前期,3,12,329,13
